file order;h;V;C;x;y;Y;X_C;Y_C;Z_C;X_D65;Y_D65;Z_D65;R;G;B;dR;dG;dB
233;2.5YR;2;4;0,4598;0,3508;3,126;0,041;0,0313;0,0169;0,0403;0,0313;0,0155;0,3029;0,1529;0,1136;77;39;29
234;2.5YR;2;6;0,528;0,3581;3,126;0,0461;0,0313;0,0099;0,0455;0,0313;0,0091;0,3402;0,1281;0,0684;87;33;17
236;5YR;2;2;0,388;0,3476;3,126;0,0349;0,0313;0,0238;0,0341;0,0313;0,0219;0,2516;0,1776;0,1457;64;45;37
237;5YR;2;4;0,4674;0,3738;3,126;0,0391;0,0313;0,0133;0,0384;0,0313;0,0122;0,2941;0,16;0,0908;75;41;23
238;5YR;2;6;0,5426;0,3925;3,126;0,0432;0,0313;0,0052;0,0427;0,0313;0,0047;0,3278;0,1409;0,0038;84;36;1
239;7.5YR;2;2;0,3889;0,359;3,126;0,0339;0,0313;0,022;0,0331;0,0313;0,0202;0,2455;0,181;0,1372;63;46;35
240;7.5YR;2;4;0,469;0,3964;3,126;0,037;0,0313;0,0106;0,0364;0,0313;0,0097;0,2824;0,1678;0,0695;72;43;18
242;10YR;2;2;0,3872;0,3688;3,126;0,0328;0,0313;0,0207;0,0321;0,0313;0,019;0,2383;0,1844;0,1309;61;47;33
243;10YR;2;4;0,4676;0,4168;3,126;0,0351;0,0313;0,0087;0,0345;0,0314;0,0079;0,2707;0,1746;0,0499;69;45;13
244;2.5Y;2;2;0,3825;0,3785;3,126;0,0316;0,0313;0,0197;0,0309;0,0313;0,0182;0,2288;0,1885;0,1258;58;48;32
245;2.5Y;2;4;0,4627;0,4392;3,126;0,0329;0,0313;0,007;0,0324;0,0314;0,0064;0,2563;0,182;0,0267;65;46;7
246;5Y;2;2;0,3757;0,3839;3,126;0,0306;0,0313;0,0196;0,0299;0,0313;0,018;0,2199;0,1918;0,1247;56;49;32
247;5Y;2;4;0,4543;0,4573;3,126;0,0311;0,0313;0,006;0,0305;0,0314;0,0055;0,2422;0,1883;0,0075;62;48;2
248;7.5Y;2;2;0,366;0,3858;3,126;0,0297;0,0313;0,0201;0,0289;0,0314;0,0185;0,2101;0,1949;0,1271;54;50;32
249;7.5Y;2;4;0,4401;0,4723;3,126;0,0291;0,0313;0,0058;0,0286;0,0314;0,0053;0,2257;0,1947;-0,0014;58;50;0
250;10Y;2;2;0,3556;0,3848;3,126;0,0289;0,0313;0,0211;0,0281;0,0314;0,0194;0,2008;0,1975;0,1317;51;50;34
251;10Y;2;4;0,4188;0,4789;3,126;0,0273;0,0313;0,0067;0,0268;0,0314;0,0061;0,2073;0,2006;0,016;53;51;4
252;2.5GY;2;2;0,3421;0,3803;3,126;0,0281;0,0313;0,0228;0,0274;0,0314;0,021;0,1897;0,2002;0,1396;48;51;36
253;2.5GY;2;4;0,3881;0,4752;3,126;0,0255;0,0313;0,009;0,025;0,0314;0,0082;0,1843;0,2065;0,0472;47;53;12
254;5GY;2;2;0,3309;0,3743;3,126;0,0276;0,0313;0,0246;0,0269;0,0313;0,0227;0,1812;0,202;0,1475;46;52;38
255;5GY;2;4;0,3582;0,465;3,126;0,0241;0,0313;0,0119;0,0235;0,0314;0,0109;0,1612;0,2112;0,0738;41;54;19
257;7.5GY;2;2;0,3165;0,365;3,126;0,0271;0,0313;0,0273;0,0263;0,0313;0,0251;0,17;0,204;0,1584;43;52;40
258;7.5GY;2;4;0,3248;0,4457;3,126;0,0228;0,0313;0,0161;0,0221;0,0314;0,0148;0,1332;0,2155;0,1028;34;55;26
259;7.5GY;2;6;0,326;0,5379;3,126;0,0189;0,0313;0,0079;0,0184;0,0315;0,0072;0,0827;0,2254;0,0283;21;57;7
261;10GY;2;2;0,3069;0,358;3,126;0,0268;0,0313;0,0293;0,026;0,0313;0,0269;0,1622;0,2052;0,1661;41;52;42
262;10GY;2;4;0,2986;0,424;3,126;0,022;0,0313;0,0205;0,0213;0,0314;0,0188;0,1081;0,2183;0,1266;28;56;32
263;10GY;2;6;0,2852;0,4972;3,126;0,0179;0,0313;0,0137;0,0173;0,0315;0,0126;0,0134;0,2289;0,0848;3;58;22
267;2.5G;2;2;0,2978;0,3507;3,126;0,0265;0,0313;0,0313;0,0257;0,0313;0,0288;0,1546;0,2062;0,1738;39;53;44
268;2.5G;2;4;0,2763;0,3998;3,126;0,0216;0,0313;0,0253;0,0208;0,0314;0,0233;0,0831;0,22;0,149;21;56;38
275;5G;2;2;0,2918;0,345;3,126;0,0264;0,0313;0,0329;0,0256;0,0313;0,0303;0,1498;0,2067;0,1794;38;53;46
276;5G;2;4;0,264;0,3845;3,126;0,0215;0,0313;0,0286;0,0206;0,0314;0,0263;0,066;0,2208;0,1623;17;56;41
283;7.5G;2;2;0,2869;0,34;3,126;0,0264;0,0313;0,0343;0,0255;0,0313;0,0316;0,1459;0,2071;0,1842;37;53;47
284;7.5G;2;4;0,254;0,3705;3,126;0,0214;0,0313;0,0317;0,0206;0,0314;0,0292;0,0495;0,2213;0,174;13;56;44
291;10G;2;2;0,282;0,3341;3,126;0,0264;0,0313;0,0359;0,0255;0,0313;0,0331;0,1424;0,2073;0,1897;36;53;48
292;10G;2;4;0,2442;0,3559;3,126;0,0214;0,0313;0,0351;0,0205;0,0314;0,0323;0,0282;0,2216;0,1861;7;57;47
299;2.5BG;2;2;0,2765;0,3271;3,126;0,0264;0,0313;0,0379;0,0255;0,0313;0,0349;0,1384;0,2074;0,1961;35;53;50
300;2.5BG;2;4;0,2343;0,3378;3,126;0,0217;0,0313;0,0396;0,0207;0,0313;0,0365;-0,0009;0,2215;0,2006;0;56;51
306;5BG;2;2;0,2697;0,3175;3,126;0,0266;0,0313;0,0406;0,0256;0,0313;0,0374;0,1339;0,2074;0,2047;34;53;52
312;7.5BG;2;2;0,2651;0,3098;3,126;0,0267;0,0313;0,0429;0,0257;0,0313;0,0395;0,1316;0,2071;0,2115;34;53;54
318;10BG;2;2;0,2606;0,301;3,126;0,0271;0,0313;0,0455;0,026;0,0313;0,0419;0,1302;0,2065;0,2191;33;53;56
323;2.5B;2;2;0,2578;0,294;3,126;0,0274;0,0313;0,0477;0,0263;0,0312;0,0439;0,1306;0,2057;0,2251;33;52;57
328;5B;2;2;0,2559;0,2874;3,126;0,0278;0,0313;0,0497;0,0267;0,0312;0,0457;0,1324;0,2046;0,2307;34;52;59
333;7.5B;2;2;0,2545;0,2799;3,126;0,0284;0,0313;0,052;0,0273;0,0312;0,0479;0,1362;0,2031;0,2369;35;52;60
334;7.5B;2;4;0,2063;0,24;3,126;0,0269;0,0313;0,0721;0,0255;0,0311;0,0664;0,0173;0,2104;0,2834;4;54;72
338;10B;2;2;0,2558;0,2725;3,126;0,0293;0,0313;0,0541;0,0282;0,0312;0,0498;0,1452;0,2005;0,2424;37;51;62
339;10B;2;4;0,2102;0,2313;3,126;0,0284;0,0313;0,0755;0,027;0,0311;0,0695;0,0605;0,2062;0,2906;15;53;74
343;2.5PB;2;2;0,2592;0,2675;3,126;0,0303;0,0313;0,0553;0,0291;0,0312;0,0509;0,156;0,1977;0,2455;40;50;63
344;2.5PB;2;4;0,2175;0,2245;3,126;0,0303;0,0313;0,0777;0,0288;0,0311;0,0716;0,0995;0,2007;0,2953;25;51;75
349;5PB;2;2;0,2638;0,2624;3,126;0,0314;0,0313;0,0564;0,0302;0,0312;0,052;0,1686;0,1941;0,2485;43;49;63
350;5PB;2;4;0,2263;0,2192;3,126;0,0323;0,0313;0,0791;0,0308;0,031;0,0728;0,132;0,1945;0,2983;34;50;76
351;5PB;2;6;0,1942;0,1811;3,126;0,0335;0,0313;0,1078;0,0317;0,0309;0,0993;0,0665;0,1944;0,35;17;50;89
356;7.5PB;2;2;0,2712;0,2582;3,126;0,0328;0,0313;0,057;0,0316;0,0311;0,0525;0,1844;0,1896;0,25;47;48;64
357;7.5PB;2;4;0,242;0,2148;3,126;0,0352;0,0313;0,0791;0,0337;0,031;0,0728;0,173;0,1846;0,2986;44;47;76
358;7.5PB;2;6;0,2189;0,179;3,126;0,0382;0,0313;0,1051;0,0364;0,0309;0,0969;0,1609;0,1779;0,346;41;45;88
359;7.5PB;2;8;0,2005;0,1495;3,126;0,0419;0,0313;0,1359;0,0397;0,0307;0,1252;0,1475;0,169;0,3935;38;43;100
360;7.5PB;2;10;0,1882;0,1258;3,126;0,0468;0,0313;0,1705;0,0441;0,0304;0,1571;0,1415;0,1556;0,4395;36;40;112
361;7.5PB;2;12;0,1813;0,1094;3,126;0,0518;0,0313;0,2027;0,0487;0,0302;0,1868;0,1436;0,1396;0,4777;37;36;122
362;7.5PB;2;14;0,1762;0,0955;3,126;0,0577;0,0313;0,2384;0,0541;0,03;0,2197;0,1501;0,1177;0,516;38;30;132
363;7.5PB;2;16;0,1728;0,0839;3,126;0,0644;0,0313;0,2769;0,0603;0,0298;0,2552;0,1617;0,086;0,5536;41;22;141
364;7.5PB;2;18;0,1701;0,0742;3,126;0,0717;0,0313;0,3184;0,067;0,0295;0,2934;0,1741;0,0325;0,5907;44;8;151
375;10PB;2;2;0,2803;0,2567;3,126;0,0341;0,0313;0,0564;0,0329;0,0311;0,0519;0,1996;0,1851;0,2487;51;47;63
376;10PB;2;4;0,26;0,2162;3,126;0,0376;0,0313;0,0757;0,0361;0,031;0,0698;0,2049;0,1757;0,2922;52;45;75
377;10PB;2;6;0,244;0,184;3,126;0,0415;0,0313;0,0972;0,0397;0,0309;0,0895;0,2109;0,1646;0,3328;54;42;85
378;10PB;2;8;0,2294;0,1551;3,126;0,0462;0,0313;0,1241;0,0441;0,0307;0,1143;0,2177;0,1497;0,3765;56;38;96
379;10PB;2;10;0,22;0,133;3,126;0,0517;0,0313;0,1521;0,0492;0,0305;0,1401;0,2289;0,1299;0,4164;58;33;106
380;10PB;2;12;0,2139;0,117;3,126;0,0571;0,0313;0,1788;0,0543;0,0303;0,1647;0,241;0,1064;0,4504;61;27;115
381;10PB;2;14;0,2087;0,1026;3,126;0,0636;0,0313;0,2098;0,0604;0,0301;0,1934;0,2551;0,0702;0,4863;65;18;124
392;2.5P;2;2;0,2892;0,2583;3,126;0,035;0,0313;0,0548;0,0338;0,0311;0,0504;0,2108;0,1818;0,2449;54;46;62
393;2.5P;2;4;0,2758;0,2208;3,126;0,039;0,0313;0,0713;0,0376;0,031;0,0656;0,2254;0,1696;0,2831;57;43;72
394;2.5P;2;6;0,2661;0,1921;3,126;0,0433;0,0313;0,0882;0,0417;0,0309;0,0812;0,2403;0,1557;0,3169;61;40;81
395;2.5P;2;8;0,257;0,1635;3,126;0,0491;0,0313;0,1108;0,0472;0,0307;0,1021;0,2597;0,134;0,3563;66;34;91
396;2.5P;2;10;0,2501;0,1422;3,126;0,055;0,0313;0,1336;0,0527;0,0306;0,1231;0,2775;0,108;0,3912;71;28;100
397;2.5P;2;12;0,2449;0,1245;3,126;0,0615;0,0313;0,1583;0,0589;0,0304;0,1459;0,2965;0,0696;0,4253;76;18;108
407;5P;2;2;0,2984;0,2612;3,126;0,0357;0,0313;0,0527;0,0346;0,0311;0,0485;0,2207;0,179;0,2398;56;46;61
408;5P;2;4;0,2908;0,2261;3,126;0,0402;0,0313;0,0668;0,0389;0,031;0,0615;0,2416;0,1645;0,2736;62;42;70
409;5P;2;6;0,285;0,1992;3,126;0,0447;0,0313;0,0809;0,0432;0,0309;0,0746;0,2607;0,1484;0,3034;66;38;77
410;5P;2;8;0,2791;0,1707;3,126;0,0511;0,0313;0,1008;0,0493;0,0308;0,0928;0,2854;0,1219;0,3399;73;31;87
411;5P;2;10;0,2748;0,15;3,126;0,0573;0,0313;0,1199;0,0552;0,0306;0,1104;0,3071;0,0897;0,3712;78;23;95
412;5P;2;12;0,2709;0,132;3,126;0,0642;0,0313;0,1414;0,0618;0,0304;0,1303;0,3292;0,0334;0,403;84;9;103
421;7.5P;2;2;0,3071;0,2647;3,126;0,0363;0,0313;0,0506;0,0351;0,0311;0,0466;0,2287;0,1767;0,2343;58;45;60
422;7.5P;2;4;0,3048;0,2321;3,126;0,0411;0,0313;0,0624;0,0398;0,031;0,0574;0,254;0,1604;0,2639;65;41;67
423;7.5P;2;6;0,3025;0,2058;3,126;0,0459;0,0313;0,0747;0,0445;0,0309;0,0688;0,2769;0,1418;0,2911;71;36;74
424;7.5P;2;8;0,3;0,1781;3,126;0,0527;0,0313;0,0916;0,051;0,0308;0,0844;0,305;0,1113;0,3241;78;28;83
425;7.5P;2;10;0,2979;0,1569;3,126;0,0594;0,0313;0,1086;0,0574;0,0306;0,1001;0,3302;0,07;0,3537;84;18;90
433;10P;2;2;0,3161;0,2691;3,126;0,0367;0,0313;0,0482;0,0356;0,0311;0,0444;0,2359;0,1747;0,2281;60;45;58
434;10P;2;4;0,3189;0,239;3,126;0,0417;0,0313;0,0578;0,0405;0,0311;0,0533;0,2645;0,157;0,2533;67;40;65
435;10P;2;6;0,3207;0,2132;3,126;0,047;0,0313;0,0683;0,0456;0,031;0,0629;0,2912;0,1355;0,2779;74;35;71
436;10P;2;8;0,3219;0,1862;3,126;0,054;0,0313;0,0826;0,0525;0,0308;0,0761;0,3222;0,1007;0,3076;82;26;78
437;10P;2;10;0,323;0,1659;3,126;0,0609;0,0313;0,0963;0,0591;0,0307;0,0887;0,3494;0,0505;0,3333;89;13;85
